epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.36956,2.33338,3.19368,0.72507,2.32155,2.60081,0.62001,0.75,0.64288,0.21436,0.61263,0.66667,0.55756,0.08719,2.0135,3.7651,0.75254,1.72669,3.19177,0.000652174,0.000652174,0.000652174
2,14.9409,1.80935,2.04184,0.71848,1.50466,1.99941,0.36792,0.80556,0.44686,0.14469,0.43456,0.94444,0.67601,0.47661,2.39348,1.53799,0.72248,1.76295,3.39302,0.00130578,0.00130578,0.00130578
3,20.7861,1.74989,1.60233,0.69628,1.35134,1.95239,0.91658,0.77778,0.89441,0.37666,0.85957,0.85031,0.94093,0.73785,2.02751,0.91234,0.56594,1.87279,2.96473,0.00194619,0.00194619,0.00194619
4,25.564,1.7073,1.36816,0.67238,1.24017,1.91956,0.77376,0.66505,0.6603,0.2669,0.68507,0.72518,0.67774,0.32827,2.01302,1.93337,0.39623,1.85764,2.76267,0.0019406,0.0019406,0.0019406
5,30.6296,1.64117,1.15685,0.66482,1.21989,1.83205,0.66995,0.77778,0.74403,0.3098,0.79239,0.91667,0.92562,0.55139,1.94879,1.26885,0.36938,1.39265,2.61119,0.0019208,0.0019208,0.0019208
6,35.4764,1.52772,1.03541,0.66382,1.13136,1.73639,0.8538,0.81124,0.88296,0.35853,0.88371,0.84457,0.92055,0.80588,1.92871,0.70395,0.40246,1.4077,2.65831,0.001901,0.001901,0.001901
7,40.4128,1.57681,0.98408,0.64346,1.11511,1.80391,0.78124,0.91667,0.88883,0.40032,0.80211,0.94444,0.93742,0.78853,1.80522,0.47467,0.36203,1.18764,2.53252,0.0018812,0.0018812,0.0018812
8,45.4389,1.46439,0.89693,0.63442,1.11789,1.69406,0.82127,0.88889,0.91561,0.40127,0.91551,0.90319,0.96101,0.74898,2.01415,0.95809,0.39174,1.44456,2.75301,0.0018614,0.0018614,0.0018614
9,50.6628,1.35614,0.88068,0.62966,1.00222,1.61937,0.86957,0.92613,0.92249,0.5409,0.89502,0.94739,0.95981,0.82278,1.54126,0.53508,0.38767,1.00902,2.23784,0.0018416,0.0018416,0.0018416
10,56.2789,1.36308,0.69336,0.62134,0.96072,1.59499,0.96104,0.94444,0.97087,0.49614,0.99139,0.97222,0.98885,0.85837,1.7131,0.57611,0.37962,0.91242,2.38217,0.0018218,0.0018218,0.0018218
11,62.1822,1.35096,0.79501,0.6218,0.97767,1.62583,0.84776,0.92828,0.92933,0.58503,0.9434,0.9261,0.96721,0.90675,1.39754,0.52373,0.45535,1.11704,2.04678,0.001802,0.001802,0.001802
12,67.5918,1.35586,0.76036,0.62515,0.93669,1.62529,0.95388,0.83333,0.94482,0.51511,0.95388,0.83333,0.95377,0.81354,1.63217,0.78437,0.46097,0.93075,2.28392,0.0017822,0.0017822,0.0017822
13,72.6105,1.27567,0.68492,0.61704,0.92804,1.54197,0.95881,0.94444,0.96223,0.5386,0.95881,0.94444,0.96173,0.93529,1.60377,0.31009,0.43109,0.98139,2.24429,0.0017624,0.0017624,0.0017624
14,77.6945,1.29971,0.69033,0.60087,0.91434,1.57052,0.97108,0.93306,0.97509,0.53054,0.97108,0.93306,0.96975,0.89744,1.36057,0.38636,0.47684,0.86358,2.08862,0.0017426,0.0017426,0.0017426
